transaction_unique_id,seller_company_name,customer_company_name,ferc_tariff_reference,contract_service_agreement,transaction_unique_identifier,transaction_begin_date,transaction_end_date,trade_date,exchange_brokerage_service,type_of_rate,time_zone,point_of_delivery_balancing_authority,point_of_delivery_specific_location,class_name,term_name,increment_name,increment_peaking_name,product_name,transaction_quantity,price,rate_units,standardized_quantity,standardized_price,total_transmission_charge,total_transaction_charge
T33358091,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T39,2020-01-01T03:10:00,2020-01-01T03:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.65,3,$/MWH,,,0,4.95
T33358092,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T40,2020-01-01T03:15:00,2020-01-01T03:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358093,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T41,2020-01-01T03:20:00,2020-01-01T03:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358094,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T42,2020-01-01T03:25:00,2020-01-01T03:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358095,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T43,2020-01-01T03:30:00,2020-01-01T03:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.65,3,$/MWH,,,0,4.95
T33358096,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T44,2020-01-01T03:35:00,2020-01-01T03:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.65,3,$/MWH,,,0,4.95
T33358097,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T45,2020-01-01T03:40:00,2020-01-01T03:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358098,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T46,2020-01-01T03:45:00,2020-01-01T03:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6583,3,$/MWH,,,0,4.98
T33358099,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T47,2020-01-01T03:50:00,2020-01-01T03:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.65,3,$/MWH,,,0,4.95
T33358100,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T48,2020-01-01T03:55:00,2020-01-01T04:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,1.6417,3,$/MWH,,,0,4.93
T33358101,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T49,2020-01-01T04:00:00,2020-01-01T04:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2667,3,$/MWH,,,0,0.8
T33358102,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T50,2020-01-01T04:05:00,2020-01-01T04:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2583,3,$/MWH,,,0,0.78
T33358103,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T51,2020-01-01T04:10:00,2020-01-01T04:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.25,3,$/MWH,,,0,0.75
T33358104,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T52,2020-01-01T04:15:00,2020-01-01T04:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3,3,$/MWH,,,0,0.9
T33358105,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T53,2020-01-01T04:20:00,2020-01-01T04:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3333,3,$/MWH,,,0,1
T33358106,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T54,2020-01-01T04:25:00,2020-01-01T04:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3167,3,$/MWH,,,0,0.95
T33358107,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T55,2020-01-01T04:30:00,2020-01-01T04:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.325,3,$/MWH,,,0,0.97
T33358108,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T56,2020-01-01T04:35:00,2020-01-01T04:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3333,3,$/MWH,,,0,1
T33358109,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T57,2020-01-01T04:40:00,2020-01-01T04:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3583,3,$/MWH,,,0,1.08
T33358110,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T58,2020-01-01T04:45:00,2020-01-01T04:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3417,3,$/MWH,,,0,1.03
T33358111,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T59,2020-01-01T04:50:00,2020-01-01T04:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.2417,3,$/MWH,,,0,0.72
T33358112,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T60,2020-01-01T05:00:00,2020-01-01T05:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,18.99,$/MWH,,,0,7.91
T33358113,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T61,2020-01-01T05:05:00,2020-01-01T05:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,19.94,$/MWH,,,0,8.31
T33358114,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T62,2020-01-01T05:10:00,2020-01-01T05:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,19.33,$/MWH,,,0,8.05
T33358115,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T63,2020-01-01T05:15:00,2020-01-01T05:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,19.95,$/MWH,,,0,8.31
T33358116,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T64,2020-01-01T05:20:00,2020-01-01T05:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,21.1,$/MWH,,,0,8.79
T33358117,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T65,2020-01-01T05:25:00,2020-01-01T05:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,21.1,$/MWH,,,0,8.79
T33358118,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T66,2020-01-01T05:30:00,2020-01-01T05:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,23.5,$/MWH,,,0,9.79
T33358119,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T67,2020-01-01T05:35:00,2020-01-01T05:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,23.92,$/MWH,,,0,9.97
T33358120,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T68,2020-01-01T05:40:00,2020-01-01T05:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,22.88,$/MWH,,,0,9.53
T33358121,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T69,2020-01-01T05:45:00,2020-01-01T05:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4083,19.77,$/MWH,,,0,8.07
T33358122,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T70,2020-01-01T05:50:00,2020-01-01T05:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3833,22.31,$/MWH,,,0,8.55
T33358123,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T71,2020-01-01T05:55:00,2020-01-01T06:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3833,21.1,$/MWH,,,0,8.09
T33358124,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T72,2020-01-01T06:00:00,2020-01-01T06:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3833,20,$/MWH,,,0,7.67
T33358125,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T73,2020-01-01T06:05:00,2020-01-01T06:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4,21.1,$/MWH,,,0,8.44
T33358126,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T74,2020-01-01T06:10:00,2020-01-01T06:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4,21.1,$/MWH,,,0,8.44
T33358127,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T75,2020-01-01T06:15:00,2020-01-01T06:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3917,21.1,$/MWH,,,0,8.26
T33358128,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T76,2020-01-01T06:20:00,2020-01-01T06:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.3833,21.1,$/MWH,,,0,8.09
T33358129,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T77,2020-01-01T06:25:00,2020-01-01T06:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,21.1,$/MWH,,,0,8.79
T33358130,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T78,2020-01-01T06:30:00,2020-01-01T06:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,19.99,$/MWH,,,0,8.33
T33358131,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T79,2020-01-01T06:35:00,2020-01-01T06:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,21.1,$/MWH,,,0,8.79
